
Custo: 1981298 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1981223 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1981134 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1980714 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1980412 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1980356 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1980136 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1979896 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1979838 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1979709 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1979626 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1979570 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1979444 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1979237 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1979073 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1979059 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1978726 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1978410 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1978316 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1978278 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1978275 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1978236 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1978018 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1977899 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1977633 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1977631 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1977546 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1977506 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1977152 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1977085 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1977050 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1976674 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1976330 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1976238 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1976193 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1975957 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
Custo: 1975580 | Veiculos: 182 | Seed: 680982 | Tempo(s): 169.84
